		[PMC4631805]
19.0	19.0	[PMC5271433,PMC4812167,PMC5327171,PMC3960616,PMC4751907,PMC4250666,PMC4582561,PMC4236336,PMC3789839,PMC4614601,PMC4214970,PMC5467779,PMC3590666,PMC5445908,PMC4718351,PMC4040663,PMC5013290,PMC5453893,PMC5109890,PMC4720104,PMC4789845,PMC4743607,PMC4496436,PMC4164721,PMC3655304,PMC4651396]
19.0 J	19.0 J	[PMC4345719]
19.0.1	19.0.1	[PMC3693422]
19.0J	19.0J	[PMC4310378]
1_1	1_1	[PMC3449286]
2	2	[PMC4812167,PMC3944114,PMC5421174,PMC3105518,PMC3692048,PMC5089661,PMC5210542,PMC4662707,PMC4495456,PMC2682500,PMC3223056,PMC4269546,PMC2447753,PMC5400067,PMC4066774,PMC3507582,PMC3065992,PMC4987885]
2 7.6	2 7.6	[PMC3091210]
2.0	2.0	[PMC4763990,PMC4271550,PMC4010924,PMC5065646,PMC4112233,PMC2649809,PMC3013778,PMC3490414,PMC4780720,PMC2803435,PMC3765960,PMC4673871,10.1257%2Faer.104.10.3256,PMC3013677,PMC4269546,PMC5419080,PMC4162729,PMC3309518,PMC3329502,PMC4317475,PMC3374072]
2.0 Professional	2.0 Professional	[PMC3309518]
2.0.0	2.0.0	[PMC5367605]
2.0.11	2.0.11	[PMC4540966]
2.0.5	2.0.5	[PMC4763990]
2.0.7.22	2.0.7.22	[PMC5372024]
2.00	2.00	[PMC5338970]
2.01	2.01	[PMC3223056]
2.02	2.02	[PMC4408226]
2.04	2.04	[PMC4062317]
2.0b	2.0b	[PMC4357732]
2.1	2.1	[PMC2846736,PMC3692048,PMC1874646,PMC3256755,PMC3281721,PMC5247570,PMC4947724,10.1111%2Ftwec.12479,PMC3078083,PMC4013958]
2.1.0	2.1.0	[PMC4918545]
2.10.1	2.10.1	[PMC4131081]
2.11	2.11	[PMC3230829,PMC5010096]
2.11.1	2.11.1	[PMC3563119,PMC3708637]
2.12	2.12	[PMC4408226]
2.12.0	2.12.0	[PMC3123123]
2.12.1	2.12.1	[PMC4389438]
2.12.2	2.12.2	[PMC3464766]
2.13.1	2.13.1	[PMC5210394]
2.14.1	2.14.1	[PMC4986689]
2.15	2.15	[PMC3995286,PMC4183043]
2.15.0	2.15.0	[PMC4586740]
2.15.1	2.15.1	[PMC4832946]
2.15.2	2.15.2	[PMC3939454]
2.19	2.19	[PMC3490414]
2.2	2.2	[PMC3236159,PMC4767401,PMC4280825,PMC2649809,PMC4215594]
2.2.1	2.2.1	[PMC3225968,PMC3829989,PMC5144680,PMC4797302]
2.2.24	2.2.24	[PMC3419515]
2.2.25+	2.2.25+	[PMC4989302]
2.2.3	2.2.3	[PMC3223056]
2.2f	2.2f	[a2001-40-MOL_ECOL]
2.3	2.3	[PMC3202792,PMC3734831,PMC4280825,PMC4770866,PMC5339831]
2.3.2	2.3.2	[PMC4551074,PMC3223056]
2.3.4	2.3.4	[PMC3630384,PMC4797302]
2.4	2.4	[PMC4938145,PMC5098113]
2.4.1	2.4.1	[PMC2650971,PMC3749580]
2.4.1.20	2.4.1.20	[PMC5370249]
2.5	2.5	[PMC4280825,PMC3223056]
2.5.0	2.5.0	[PMC3202757]
2.5.1	2.5.1	[PMC3007589]
2.50	2.50	[PMC4499650]
2.57b	2.57b	[PMC3537159]
2.6	2.6	[PMC4683424]
2.6.1	2.6.1	[10.1111%2Fj.1467-9957.2008.01084.x]
2.61_Build_1537	2.61_Build_1537	[PMC2094076]
2.8	2.8	[PMC5373906,PMC3384331]
2.8.0	2.8.0	[PMC3419515]
2.8.1	2.8.1	[PMC3881473]
2.8.2	2.8.2	[PMC4540966]
2.9.1	2.9.1	[PMC3939454]
20	20	[PMC4963166,PMC4894081,PMC4541654,PMC5359137,PMC4647257,PMC5016904,10.3846%2Fbtp.2013.11,PMC4152993,PMC4265209,PMC4385725,PMC5452632,PMC4174215,PMC4848362,PMC4728087,PMC4870320,PMC5005113,PMC5010096,PMC3898763,PMC5084642,PMC4120377,PMC4926004,PMC5415459]
20.0	20.0	[PMC5015294,PMC4852604,PMC5018703,PMC4272508,PMC4914536,PMC3575563,10.3846%2Fbtp.2013.27,PMC4355434,PMC4846046,PMC5370249,PMC5081317,PMC4664003,PMC4878562,PMC4871932,PMC4280397,PMC4626665,PMC5378987,PMC4950899,PMC3749580,PMC5462700,PMC4455856,PMC4050386,PMC4616740,PMC4530448,PMC4622454,PMC3817086,PMC4504996,PMC4174131,PMC5207597,PMC4960374,PMC4820195,PMC5111494]
20.0.0	20.0.0	[PMC4443457]
20.0.0.1	20.0.0.1	[PMC4453642]
20.c	20.c	[PMC5129524]
2000	2000	[PMC3865386]
2000 PRO	2000 PRO	[PMC4506345]
2003	2003	[a2007-48-UNDERSEA_HYPERBAR_M]
2007	2007	[PMC3646185,PMC3865386]
2010.3	2010.3	[PMC3549877]
2010a	2010a	[PMC3674238]
2011-02-22	2011-02-22	[PMC5129524]
2011.10	2011.10	[PMC3829989]
2011_12_21_1014	2011_12_21_1014	[PMC4589266]
2011b	2011b	[PMC4374707]
2013b	2013b	[PMC4771038,PMC5215597]
2015.1.0.90	2015.1.0.90	[PMC5413303]
2020	2020	[PMC5293311]
20th ed	20th ed	[PMC4231936]
21	21	[PMC5467422,PMC4767401,PMC5407229,PMC4589713,PMC5293301,PMC4886572,PMC5318538,PMC5452632,PMC4441238,PMC4728087,PMC4908911,PMC5133663,PMC4707405,PMC4674517,PMC5018359]
21.0	21.0	[PMC4929210,PMC4564743,PMC5348473,PMC4303280,PMC5012598,PMC4384862,PMC4886572,PMC4146730,PMC4388098,PMC4160583,PMC5385115,PMC4506345,PMC4807949,PMC4494636,PMC4345972]
22	22	[PMC4401356,PMC5122609,PMC4958110,PMC5032163,PMC4818058,PMC4513216,PMC5300027,PMC4849203,PMC4947724,PMC4819867,PMC4602909,PMC4977128,PMC4555593,PMC4736865,PMC5220168]
22.0	22.0	[PMC5020575,PMC4918545,PMC4823393,PMC4874631,PMC4916592,PMC4503903,PMC5407455,PMC3865143,PMC4819553,PMC5013111,PMC4792979,PMC5321584]
23	23	[PMC5080194]
23.0	23.0	[PMC5300861,PMC5428908,PMC5292639,PMC5138571]
24	24	[PMC5473125,10.1111%2F1467-8462.12246]
24.0	24.0	[PMC3223056]
3	3	[PMC3778302,PMC3373399,PMC3691566,PMC4527497,PMC2677890,PMC4103605,PMC4176174,PMC2682500,PMC4102165,PMC5478307,PMC3644108,PMC3148455,PMC4553351,PMC4103437,PMC2836542]
3 9.6	3 9.6	[PMC3091210]
3.0	3.0	[PMC4667234,PMC3130168,PMC3203616,PMC4935458,PMC3691566,PMC3318936,PMC3464321,PMC5421174,PMC5039120,PMC4801132,PMC3694247,PMC2649809,PMC3490414,PMC2872893,a2008-39-NAT_BIOTECHNOL,PMC4623144,PMC3762194,PMC3337072,PMC2682500,PMC3223056,PMC3013677,PMC3727320,PMC4758284,PMC3276086,PMC3296922,PMC3384331,a2001-40-MOL_ECOL,PMC3374072]
3.0.1	3.0.1	[PMC4323784]
3.0.2	3.0.2	[PMC4809623,PMC4797302]
3.0.6	3.0.6	[PMC2602909]
3.02	3.02	[PMC4590259]
3.021	3.021	[PMC5071723]
3.03	3.03	[PMC3829989]
3.03a	3.03a	[PMC5440001]
3.0_beta	3.0_beta	[PMC2853139]
3.0a2	3.0a2	[PMC2881384]
3.0b4	3.0b4	[PMC3251324,PMC2890158]
3.1	3.1	[PMC4894081,PMC2768238,PMC3589720,PMC4184560,PMC5293301,PMC3749458,PMC2626662,PMC3762194,PMC4135079,PMC5453893,PMC4947724,PMC4875560,PMC4822213,PMC5387758,PMC3769764,PMC2551674,PMC4700408]
3.1.0	3.1.0	[PMC4025442,PMC4812504,PMC4251217]
3.1.1	3.1.1	[PMC4801132,PMC4832084,PMC4819553,PMC3329502,PMC5008171]
3.1.2	3.1.2	[10.1111%2F1467-8462.12246,PMC3065992]
3.1.3	3.1.3	[PMC5299485,PMC3542452]
3.1.9.2	3.1.9.2	[PMC4360915]
3.12	3.12	[PMC4265209]
3.1b1	3.1b1	[PMC5129524]
3.2	3.2	[PMC3373399,PMC4647257,PMC2682500,PMC5056991,PMC4793000,PMC3132874]
3.2.1	3.2.1	[PMC3589787]
3.28	3.28	[PMC4959023]
3.3	3.3	[PMC4812167,PMC5424272]
3.3.070	3.3.070	[PMC4839839]
3.32	3.32	[PMC2927682]
3.4	3.4	[PMC4812504]
3.4.179	3.4.179	[PMC2649809]
3.5	3.5	[PMC4918545,PMC3013714,PMC4919585,PMC5225149,PMC2238715,PMC4540966,PMC4728087,PMC3984761]
3.5.3	3.5.3	[PMC4183043]
3.52	3.52	[PMC1636350]
3.6	3.6	[PMC5406603,PMC3132874,PMC3770329,PMC3835222]
3.6.2	3.6.2	[PMC2919713]
3.7	3.7	[PMC4792857,PMC2816832,PMC3419515,PMC3065992]
3.8.1	3.8.1	[PMC4586740]
3.9	3.9	[PMC4182815]
32	32	[PMC5381479]
36.3	36.3	[PMC2678927]
3Plus	3Plus	[PMC3013778]
4	4	[PMC3302168,PMC4307762,PMC4303630,PMC3674238,PMC2881384,PMC2724645,PMC4073352,PMC4720104,PMC3064789,PMC2700377,PMC4212086,PMC3337979]
4.0	4.0	[PMC3058730,PMC3130168,PMC4958647,PMC5054038,PMC4628493,PMC3749346,PMC4147369,PMC5265988,PMC3692048,PMC3589787,10.1257%2Fjep.15.2.25,PMC3013714,PMC2649809,PMC4576863,PMC4998785,PMC2475704,PMC4832390,PMC2238715,PMC2921509,PMC3769723,PMC3297833,PMC3329502,PMC1934993,PMC2731541]
4.0.1	4.0.1	[PMC4541654,PMC3464321,PMC3105518,PMC4740966]
4.0.3	4.0.3	[PMC3694247]
4.0.3.2	4.0.3.2	[PMC3078083]
4.02	4.02	[PMC3198080]
4.03	4.03	[PMC3357263,PMC4789845,PMC3001088]
4.03b	4.03b	[a2001-40-MOL_ECOL]
4.06	4.06	[PMC3058730]
4.0b10	4.0b10	[PMC3251324]
4.1	4.1	[PMC1635254,PMC4103605,PMC3281721,PMC4561054,PMC3933250,PMC5129524,PMC5095638,PMC5005113]
4.1 and 4.2	4.1 and 4.2	[PMC3524521]
4.1.0.471	4.1.0.471	[PMC2927939]
4.1c	4.1c	[10.1080%2F13504851.2016.1167817]
4.2	4.2	[PMC4687766,PMC5265988,PMC4449848,PMC3487307]
4.2.1	4.2.1	[PMC3821792]
4.2.2	4.2.2	[10.1017%2Fs1365100515000619]
4.2.2.1	4.2.2.1	[PMC3590572]
4.3	4.3	[PMC3481138,PMC3979995,PMC3727320]
4.32	4.32	[PMC5078571]
4.4	4.4	[PMC4375646,PMC2853139,PMC4651396,PMC3835222]
4.5	4.5	[PMC3129971,PMC5440747,PMC3927753,PMC4038421,PMC3782730,PMC4327276]
4.5 build 1416	4.5 build 1416	[PMC3129971]
4.5.1	4.5.1	[PMC2919713]
4.6	4.6	[PMC3128530,PMC4540966,PMC3994298]
4.60	4.60	[PMC3198080]
4.7	4.7	[PMC4586752,PMC4103437]
4.7.2.0	4.7.2.0	[PMC3065992]
4.8.2	4.8.2	[PMC3809360,PMC3370925]
5	5	[PMC3778302,PMC3373399,PMC3351187,PMC4898839,PMC5359128,PMC4616535,PMC5241585,PMC3474945,PMC4470347,PMC4959023,PMC4634622,PMC2649809,PMC5078599,PMC5467779,PMC4632900,PMC2626662,PMC4128792,PMC3223056,PMC4540966,10.1111%2Fj.1475-4932.2008.00494.x,PMC3507205,PMC4257079,PMC4407761,PMC4094575,PMC4807949,PMC5143422,PMC4851261,PMC4755524,PMC5207597]
5.0	5.0	[PMC5463043,PMC4027853,PMC4264042,PMC4221315,PMC4468934,PMC4010924,PMC3880993,PMC4616920,PMC4123385,PMC3692048,10.1257%2Fjep.15.2.25,PMC3389425,PMC4800296,PMC4057327,PMC4717961,PMC2768165,PMC5364865,PMC3648837,PMC4878562,PMC5283079,PMC5225149,PMC2475704,PMC3518495,PMC5453893,PMC2804221,PMC2950835,PMC4956186,PMC4583605,PMC5338961,PMC3198078,PMC4234332,PMC3001089,PMC4501418,PMC5244966,PMC4310406,PMC4181735,PMC3835222]
5.0.1	5.0.1	[PMC3768664,PMC2570388]
5.0.5	5.0.5	[PMC2890158]
5.0.6	5.0.6	[PMC4589266]
5.01	5.01	[PMC3405507,PMC4791326]
5.02	5.02	[PMC3060514,PMC2724645,PMC4567174]
5.03	5.03	[PMC5108413,PMC5247570]
5.04	5.04	[PMC3902349,PMC4888764,PMC3661168,PMC5071723]
5.05	5.05	[PMC3819448]
5.08b	5.08b	[PMC5440848]
5.0a	5.0a	[PMC4843533]
5.0d	5.0d	[PMC3442822,PMC3529531,PMC5389568]
5.1	5.1	[PMC4754077,PMC4536843,PMC4215532,PMC3276104]
5.12.2	5.12.2	[PMC4453596]
5.2	5.2	[PMC4985391,PMC4225296,PMC4548766,PMC3378868,PMC3569118,PMC4282059,PMC3001088,PMC5384723,PMC4103437]
5.2.1	5.2.1	[PMC4622569]
5.2.3	5.2.3	[PMC4015203]
5.22.2	5.22.2	[PMC3384331]
5.3	5.3	[PMC3765960,PMC4839839,PMC4408226,PMC4748904,PMC4621286]
5.3.0	5.3.0	[PMC5113931]
5.3.1	5.3.1	[a2004-40-NAT_GENET]
5.4.2	5.4.2	[PMC4091108]
5.5	5.5	[PMC4408226,PMC4554393]
5.667	5.667	[PMC1636350]
5.7	5.7	[PMC4280825]
5.71.0	5.71.0	[PMC3865143]
5.8	5.8	[PMC4280825]
510	510	[PMC3341159]
54	54	[PMC5435914]
6	6	[PMC5147514,PMC4989302,PMC5235341,PMC4898854,PMC3589787,PMC4760300,PMC2768165,PMC4327489,PMC5458338,PMC3018578,PMC4410084,10.1111%2Fj.1467-8381.2009.02008.x,PMC3064789,PMC4380214,PMC5023377,10.3846%2F1611-1699.2009.10.349-360,PMC3973247,PMC2646063]
6.0	6.0	[PMC5094513,PMC4047866,PMC2887951,PMC2768165,PMC5467779,PMC5104181,PMC4066774,PMC4093267,PMC4851261,PMC3199877,PMC4618831,PMC4913573,PMC2963841,PMC5389568]
6.00	6.00	[PMC4375646]
6.01	6.01	[PMC4631805]
6.02	6.02	[PMC4057327,PMC5476471]
6.04	6.04	[PMC4182997]
6.1	6.1	[PMC3464772,10.1007%2Fs10663-015-9287-1,PMC3664701]
6.1.0.0038	6.1.0.0038	[PMC4181735]
6.1.3	6.1.3	[PMC3405507]
6.1.6	6.1.6	[PMC4103437]
6.12	6.12	[PMC3956627,PMC2808573]
6.13R1	6.13R1	[PMC4938145]
6.2	6.2	[PMC4812167,PMC5089661]
6.2.1	6.2.1	[PMC5108428,PMC4189227]
6.3	6.3	[PMC3835222]
6.3.4.0	6.3.4.0	[PMC5413303]
6.5	6.5	[PMC4201231,PMC4303630,PMC2649809,PMC5207597]
6.7	6.7	[PMC5435914]
6.7-1	6.7-1	[PMC3875508]
63	63	[PMC3567485]
69	69	[PMC3692048]
7	7	[PMC3749802,PMC2759333,PMC3198286,PMC4303630,PMC2708934,PMC2649809,10.3846%2Fbtp.2015.433]
7.0	7.0	[PMC3768955,PMC3386209,PMC2742187,PMC3674238,10.1007%2Fs10368-017-0398-y,PMC3768664,PMC4713128,PMC3521687,PMC5135399,PMC2956241,PMC4849384]
7.0.1	7.0.1	[PMC3619072,PMC4792979]
7.0.3	7.0.3	[PMC4103437]
7.0.5.2	7.0.5.2	[PMC3589787]
7.1	7.1	[10.1111%2F1467-8462.12246]
7.1.5	7.1.5	[PMC3768955,PMC5091022]
7.11.0.584	7.11.0.584	[PMC5089661]
7.12.0	7.12.0	[PMC5308490]
7.2	7.2	[PMC4801097,PMC3193002,PMC4849203,PMC5324669]
7.2.0	7.2.0	[PMC5306244]
7.2.5	7.2.5	[PMC4435018]
7.3	7.3	[PMC3281721]
7.3.1	7.3.1	[PMC3193002,PMC4551074,PMC4317475]
7.5	7.5	[PMC3245946,PMC3025493]
7.5-9.5.1	7.5-9.5.1	[PMC2920066]
7.6.4	7.6.4	[PMC4230620]
7.6.5	7.6.5	[PMC4411514]
7.7	7.7	[PMC3386209]
7.9	7.9	[PMC5078571]
7.9.0	7.9.0	[PMC3361002]
72	72	[PMC4895162]
75	75	[PMC5210542,PMC4066774]
8	8	[PMC3029787,PMC5132076,PMC5360432,PMC4280422,PMC3442822,PMC3598124,PMC4269546,PMC4785010,PMC3309518,PMC3049466]
8,36	8,36	[a2010-05-BMC_MOL_BIOL]
8.0	8.0	[PMC4723022,PMC4240489,PMC4918545,PMC3388559,PMC4919596,PMC3809360,PMC4536843,PMC4531765,PMC3661168,PMC4531739,PMC4164725,PMC2584180,PMC3337979]
8.0.0.783	8.0.0.783	[PMC4215594]
8.0.05	8.0.05	[PMC3040438]
8.0.2	8.0.2	[PMC4540966]
8.05	8.05	[PMC3105518]
8.1	8.1	[PMC5328613]
8.2	8.2	[PMC4963800]
8.3	8.3	[PMC3575799]
8.4	8.4	[PMC4760300,PMC4554393]
8.8	8.8	[PMC3357263]
8.8.4	8.8.4	[PMC3071219]
84	84	[PMC5424272]
8SE	8SE	[PMC4455856]
9	9	[PMC3361050,PMC3549250,PMC4717942,PMC3643111,PMC3281721,10.1111%2Fcoep.12177,PMC3371863]
9.0	9.0	[PMC3105518,PMC3223056,PMC2808580,10.3846%2Fjbem.2010.13,PMC4597507,PMC3467446,PMC4189225,PMC3374072]
9.0.0	9.0.0	[PMC5029575]
