		[PMC2447753]
AW workstation	AW workstation	[PMC4651396]
Academic Careers Online	Academic Careers Online	[10.1257%2Fjep.24.4.187]
AcademicJobsOnline.org	AcademicJobsOnline.org	[10.1257%2Fjep.24.4.187]
Access	Access	[PMC4908911,PMC4951474]
AcqKnowledge	AcqKnowledge	[PMC4182815]
Acquire and Analyze	Acquire and Analyze	[PMC2606938]
Acrobat Reader	Acrobat Reader	[10.1017%2Fs136510051300076x]
ActiveX	ActiveX	[PMC2815316]
Actiware	Actiware	[PMC3865143]
Admixture	Admixture	[PMC3507582]
Adobe Acrobat Reader DC (PDF	Adobe Acrobat Reader DC (PDF	[10.1111%2F1467-8462.12246]
Adobe Illustrator	Adobe Illustrator	[PMC3608489,PMC4551318]
Adobe Lightroom	Adobe Lightroom	[PMC3608489]
Adobe Photoshop	Adobe Photoshop	[PMC2518490,PMC3650246,PMC2724645,PMC3521687,PMC3762194,PMC3322527,PMC2853139,PMC5216448,PMC4407839]
Affymetrix	Affymetrix	[PMC2475704]
Affymetrix Cytogenetics Whole Genome 2.7 Mb Array	Affymetrix Cytogenetics Whole Genome 2.7 Mb Array	[PMC3589639]
Affymetrix Genotyping Console	Affymetrix Genotyping Console	[PMC3329502]
Affymetrix IGB	Affymetrix IGB	[PMC3123123]
Affymetrix Microarray Suite	Affymetrix Microarray Suite	[PMC2475704]
Affymetrix TAS	Affymetrix TAS	[PMC3123123]
Affymetrix microarray suite	Affymetrix microarray suite	[PMC2649809]
Affymetrix suite	Affymetrix suite	[PMC2475704]
Agilent 2100 Expert Software	Agilent 2100 Expert Software	[a2010-05-BMC_MOL_BIOL]
Agilent 2100 bioanalyzer series C	Agilent 2100 bioanalyzer series C	[PMC3202757]
Agilent Feature Extraction	Agilent Feature Extraction	[PMC4586740]
Agilent Feature Extraction Software	Agilent Feature Extraction Software	[PMC4317475]
Agilent GeneSpring GX	Agilent GeneSpring GX	[PMC4801132]
Aida	Aida	[PMC3078083]
AimImage Browser	AimImage Browser	[PMC3718976]
Airbnb	Airbnb	[10.1111%2Fjems.12230,10.1007%2Fs00191-017-0548-y]
Alexa Traffic Rank	Alexa Traffic Rank	[10.1111%2Fjems.12141]
AlignX	AlignX	[PMC4380214]
Alpha View Analysis Tools	Alpha View Analysis Tools	[PMC5104181]
AlphaSim	AlphaSim	[PMC4375646]
AltAnalyze	AltAnalyze	[PMC3400965]
Amazon	Amazon	[10.1257%2Fjep.26.2.189]
Amazon.com	Amazon.com	[10.1257%2Fjep.26.2.189]
Amira	Amira	[PMC4554393]
Amova	Amova	[a2001-40-MOL_ECOL]
AnalySIS	AnalySIS	[PMC3318936]
Analyse-It	Analyse-It	[PMC4062317]
Analysis Pipeline	Analysis Pipeline	[PMC5334298]
Analysis Plus	Analysis Plus	[PMC4801153]
Analyze	Analyze	[PMC4410849]
Anatomy ToolBox	Anatomy ToolBox	[PMC3722356]
Android	Android	[10.1111%2F1467-8462.12152]
Android operating system	Android operating system	[10.1257%2Fjep.27.1.3]
AnthroPlus	AnthroPlus	[10.1111%2Fcwe.12158]
Anymaze system	Anymaze system	[PMC4851261]
Apache	Apache	[PMC3013778,10.1111%2Fj.1475-4932.2008.00494.x]
Apache HTTP server	Apache HTTP server	[PMC3567485]
Apache XML Graphics	Apache XML Graphics	[PMC2950835]
ApexTrack2	ApexTrack2	[PMC2238715]
Applied Biosystems Expression Array System Soft- ware	Applied Biosystems Expression Array System Soft- ware	[PMC5054038]
Applied Biosystems Software	Applied Biosystems Software	[PMC5054038]
ArcGIS	ArcGIS	[10.1111%2Fj.1468-0297.2011.02449.x,10.1007%2Fs00148-011-0355-y,PMC2935919,PMC4295086,10.1111%2F1467-8462.12152]
ArcGIS ArcMap	ArcGIS ArcMap	[10.1007%2Fs10824-015-9248-3]
ArcMap	ArcMap	[PMC5462257]
Args4j	Args4j	[PMC2950835]
Argus	Argus	[PMC5283079]
Array Studio	Array Studio	[PMC4801097]
Art-FUN	Art-FUN	[PMC5308435]
Artemis	Artemis	[PMC3419515]
Atlas.ti	Atlas.ti	[PMC4898854]
Audacity	Audacity	[PMC4763990]
AutoChemi	AutoChemi	[PMC4360915]
AutoDock	AutoDock	[PMC3590572]
AutoDock Vina	AutoDock Vina	[PMC4541654]
AutoGrid	AutoGrid	[PMC3590572]
AutofocusScreen	AutofocusScreen	[PMC4230620]
Axio Vision	Axio Vision	[PMC3664807,PMC5339831]
AxioCam MRc5 camera	AxioCam MRc5 camera	[PMC3589787]
AxioVision	AxioVision	[PMC3501353,PMC3500846,PMC3341159,PMC3370925,PMC2853139,PMC4582499,PMC3025493,PMC3065992]
AxioVision LE	AxioVision LE	[PMC3979995]
AxioVision Rel	AxioVision Rel	[PMC4586752]
AxioVizion	AxioVizion	[PMC3128530]
Axionvision	Axionvision	[PMC3817086]
Axiovision microscope	Axiovision microscope	[PMC3809360]
BASIC	BASIC	[10.1257%2Fjep.4.1.99]
BDGP Splice Site Prediction	BDGP Splice Site Prediction	[PMC4767401]
BEDTools	BEDTools	[PMC5210542]
BIAevaluation	BIAevaluation	[PMC2626662]
BIAevalution	BIAevalution	[PMC2626662]
BIOSYS	BIOSYS	[a2000-04-MOL_ECOL]
BLAST	BLAST	[PMC1747177,PMC3749458,PMC4397380,PMC2682500,PMC3013677,PMC3289777,PMC5198113]
BLAST2	BLAST2	[PMC3223056]
BLASTCLUST	BLASTCLUST	[PMC1636350]
BLASTN	BLASTN	[PMC5005113,PMC3384331]
BLASTP	BLASTP	[PMC3013778,PMC3384331]
BLASTX	BLASTX	[PMC4123385,PMC3223056]
BLASTn	BLASTn	[PMC4989302]
BOWTIE	BOWTIE	[PMC5435914]
BPFind	BPFind	[PMC3329738]
BPP @ MIT	BPP @ MIT	[10.1257%2Faer.20160542]
BRASS	BRASS	[PMC3112533]
BRB-Array Tools	BRB-Array Tools	[PMC4049090]
BRB-ArrayTools	BRB-ArrayTools	[PMC4586740]
BREAST-Q	BREAST-Q	[PMC5293311]
BRaliBase	BRaliBase	[PMC2447753]
BWA	BWA	[PMC5132076,PMC3630384]
BaCelLo	BaCelLo	[PMC3013677]
BaliScore	BaliScore	[PMC2447753]
Bandview	Bandview	[PMC3479176]
BeadStudio	BeadStudio	[PMC3337072]
BeatScope Easy	BeatScope Easy	[PMC5348138]
Beatscope	Beatscope	[PMC5015293]
BedTools	BedTools	[PMC5435914]
BiNGO	BiNGO	[PMC4801132]
BiQ Analyzer	BiQ Analyzer	[PMC3329502]
BigNPAG	BigNPAG	[PMC4631805]
Bing	Bing	[10.1111%2Fjems.12141]
Bing Maps Application Programming Interface	Bing Maps Application Programming Interface	[10.1002%2Fsoej.12249]
BingO	BingO	[PMC4801132]
Bio-Rad CFX Manager	Bio-Rad CFX Manager	[PMC4615379]
Bio-Rad Personal Molecular Imager-FX with Quantity One	Bio-Rad Personal Molecular Imager-FX with Quantity One	[PMC2919713]
Bio2239	Bio2239	[PMC4255760]
BioAnalyst	BioAnalyst	[PMC5419080]
BioCatalogue	BioCatalogue	[PMC2773253]
BioDataFit	BioDataFit	[a2008-39-NAT_BIOTECHNOL]
BioEdit	BioEdit	[PMC3589787,PMC3768664,PMC3223056,PMC4435018]
BioEstat	BioEstat	[PMC3769723]
BioExtract	BioExtract	[PMC2773253]
BioMOBY	BioMOBY	[PMC2773253]
BioManager	BioManager	[PMC2773253]
BioMark Real-Time PCR Analysis	BioMark Real-Time PCR Analysis	[PMC5098131]
BioMart	BioMart	[PMC3567485,PMC3762194]
BioNumerics	BioNumerics	[PMC5095638]
BioPerl	BioPerl	[PMC1635254]
BioPerl libraries	BioPerl libraries	[PMC1635254]
BioWorkflow	BioWorkflow	[PMC2773253]
Bioconductor	Bioconductor	[PMC3373399,PMC4586740,PMC4066774,PMC3322527,PMC4583706]
Biological Rhythms Analysis Software System (BRASS	Biological Rhythms Analysis Software System (BRASS	[PMC3112533]
Biology Workbench	Biology Workbench	[PMC2773253]
Biomart	Biomart	[PMC2241875]
Biomedical data processing (BMDP) statistical package	Biomedical data processing (BMDP) statistical package	[PMC2956241]
Bioquant image analysis	Bioquant image analysis	[PMC4475471]
Bioscope	Bioscope	[PMC4271550]
Bitcoin wallet	Bitcoin wallet	[10.20955%2Fr.2018.1-16]
BlaBlaCar	BlaBlaCar	[10.1007%2Fs00191-017-0548-y]
BlaBlacar	BlaBlacar	[10.1007%2Fs00191-017-0548-y]
Blast	Blast	[PMC3013778]
Blast N	Blast N	[PMC3769764]
Blender	Blender	[PMC3537159]
BlobFinder	BlobFinder	[PMC2853139]
Bottleneck	Bottleneck	[PMC4792857]
Bowtie	Bowtie	[PMC4066774]
Bowtie 2	Bowtie 2	[PMC4066774,PMC4797302]
BoxPlotR	BoxPlotR	[PMC5419106]
Boxshade	Boxshade	[PMC3654430]
Brain Extraction Tool	Brain Extraction Tool	[PMC4375646]
BrainSuite2	BrainSuite2	[PMC3932086]
C	C	[10.1111%2Fjors.12246]
C++	C++	[PMC3035800]
CABAS	CABAS	[PMC5089661]
CACHET	CACHET	[PMC3939454]
CADD-phred	CADD-phred	[PMC5132076]
CADD-raw	CADD-raw	[PMC5132076]
CAMDAS	CAMDAS	[PMC3281721]
CAN-PRO	CAN-PRO	[PMC5039120]
CAN-Pro	CAN-Pro	[PMC5039120]
CAN-pro	CAN-pro	[PMC3296922]
CANGS	CANGS	[PMC4989302]
CARAT	CARAT	[PMC3246293]
CARTO	CARTO	[PMC5153420]
CASAVA	CASAVA	[PMC4066774]
CASTEP	CASTEP	[PMC3731646]
CASUS	CASUS	[PMC3589687]
CC Metrics	CC Metrics	[PMC5063056]
CCP4	CCP4	[PMC2556094,PMC1934993]
CCP4 suite	CCP4 suite	[PMC2626662]
CDISC	CDISC	[PMC3337072]
CE	CE	[PMC1636350]
CEAS	CEAS	[PMC5435914]
CF	CF	[PMC4408226]
CFSSP	CFSSP	[PMC5112610]
CFX Manager	CFX Manager	[PMC4822213,PMC4615379]
CFX manager	CFX manager	[PMC3223056]
CFinder	CFinder	[PMC3939454]
CFlow Plus	CFlow Plus	[PMC4771121]
CGview	CGview	[PMC3013778]
CL	CL	[PMC4927739]
CLC	CLC	[PMC3130168]
CLC Genomics Workbench	CLC Genomics Workbench	[PMC4540966,PMC4103437]
CLC main workbench	CLC main workbench	[PMC3223056]
CLUSTAL W	CLUSTAL W	[PMC2768238]
CLUSTAL W2	CLUSTAL W2	[PMC4566509]
CLUSTALW	CLUSTALW	[PMC5423319]
CLUSTALX	CLUSTALX	[PMC4163634]
CLUSTAL_X	CLUSTAL_X	[PMC2890158]
CLUSTRALW	CLUSTRALW	[PMC4345638]
CNS	CNS	[PMC5143422,PMC1934993]
COACH	COACH	[PMC3939454]
CODEC	CODEC	[PMC3939454]
COILS	COILS	[PMC3223056]
COMBAT	COMBAT	[PMC4816756]
COMIC	COMIC	[PMC3630384]
COMSOL	COMSOL	[PMC4956186]
COMSOL Multiphysics	COMSOL Multiphysics	[PMC3524521]
CONUSS	CONUSS	[PMC3890939]
COOT	COOT	[PMC2626662,PMC4790474,PMC3575798]
COP	COP	[PMC3507266]
CORE	CORE	[PMC3939454]
COSMIC	COSMIC	[PMC4895162,PMC3630384]
CRISPR	CRISPR	[PMC1933234]
CRON-O-Meter	CRON-O-Meter	[PMC4922354]
CRT	CRT	[PMC1933234]
CRYSOL	CRYSOL	[PMC5143422]
CSS	CSS	[PMC3013778]
CTFFIND	CTFFIND	[PMC4176174]
CTL Europe	CTL Europe	[PMC4407761]
CURVES	CURVES	[PMC3575798]
CalFile	CalFile	[10.1002%2Fsoej.12244]
CalcuSyn	CalcuSyn	[PMC4812167]
Calcusyn	Calcusyn	[PMC4812167,PMC4216798]
Can-pro	Can-pro	[PMC4958647]
CareLink	CareLink	[PMC5111481]
Caret	Caret	[PMC4269546]
Cartodb	Cartodb	[PMC4673871]
Cell Counter	Cell Counter	[PMC4437485]
Cell Quest	Cell Quest	[PMC2518487,PMC4905837,PMC4758284]
Cell Quest Research Software	Cell Quest Research Software	[PMC4905837,PMC4832950]
CellA Analysis	CellA Analysis	[PMC4299502]
CellCognition	CellCognition	[PMC4230620]
CellQuest	CellQuest	[PMC3956627,PMC4527497,PMC2453617,PMC3278723]
CellSens Standard	CellSens Standard	[PMC4632117]
Celltrack	Celltrack	[PMC3035800]
Centarus (Nanogen	Centarus (Nanogen	[a2008-02-WATERBIRDS]
Centaurus	Centaurus	[a2008-02-WATERBIRDS]
ChIPpeakAnno	ChIPpeakAnno	[PMC5435914]
Chaste	Chaste	[PMC4135079]
Check Me	Check Me	[10.1111%2Fecin.12485]
ChemAxon Standardizer	ChemAxon Standardizer	[PMC4408226]
ChemBioDraw Ultra	ChemBioDraw Ultra	[PMC3280433]
Chimera	Chimera	[PMC3245946,PMC4176174,PMC3590572]
ChoiceMaker	ChoiceMaker	[PMC4025442]
ChromaTOF	ChromaTOF	[PMC5078571]
Chromosome Analysis Suite	Chromosome Analysis Suite	[PMC3329502]
Chrompass	Chrompass	[PMC2708934]
Cirrus OCT	Cirrus OCT	[PMC5207597]
ClampFit	ClampFit	[PMC4437485]
Clampex	Clampex	[PMC3702283,PMC4437485]
Clampfit	Clampfit	[PMC3702283,PMC4147369,PMC4576863,PMC4437485]
Clarify	Clarify	[10.1007%2Fs11558-011-9108-7]
Clinovo ClinCapture	Clinovo ClinCapture	[PMC3246293]
Clocklab	Clocklab	[PMC3112533]
Clone Manager	Clone Manager	[PMC3018578]
ClueGO	ClueGO	[PMC4801132]
Clustal	Clustal	[PMC2447753]
Clustal-w	Clustal-w	[PMC2606938]
ClustalW	ClustalW	[PMC3130168,PMC1950546,PMC2447753,PMC1636350,PMC3654430,PMC3769764]
ClustalX	ClustalX	[PMC2682500,PMC4540966,PMC3654430,PMC3374072]
ClustalX2	ClustalX2	[PMC5406524]
Cluster	Cluster	[PMC4586740]
Cmap	Cmap	[PMC3734831]
CogniPlus	CogniPlus	[PMC4662707]
Cohort Query Tool	Cohort Query Tool	[PMC3881102]
Coil	Coil	[PMC3384331]
Collapse	Collapse	[a2001-40-MOL_ECOL]
CompassXport	CompassXport	[PMC2649809]
Comprehensive Meta-Analysis	Comprehensive Meta-Analysis	[PMC4662707,PMC4839839]
Comprehensive Meta-analysis	Comprehensive Meta-analysis	[PMC5338970]
Comprehensive meta-analysis	Comprehensive meta-analysis	[PMC3236159]
Compute pI/MW	Compute pI/MW	[PMC3384331]
Conformational Analyzer with Molecular Dynamics and Sam-pling	Conformational Analyzer with Molecular Dynamics and Sam-pling	[PMC3281721]
Connectivity Map	Connectivity Map	[PMC3734831]
Coot	Coot	[PMC5143422]
CorelDraw12	CorelDraw12	[PMC2652046]
Cosmos	Cosmos	[PMC5381479]
CouchDB	CouchDB	[10.1111%2F1467-8462.12152]
CpG viewer	CpG viewer	[PMC3033187]
Craigslist	Craigslist	[10.1257%2Fjep.26.2.189,10.1007%2Fs00191-017-0548-y]
Creative Research Systems	Creative Research Systems	[PMC4368909]
Critical Appraisal Skills Programme (CASP) tool	Critical Appraisal Skills Programme (CASP) tool	[PMC5419227]
CrystalClear	CrystalClear	[PMC5143422]
Ct3d	Ct3d	[PMC3035800]
Cubist	Cubist	[PMC5238813]
Cufflinks	Cufflinks	[PMC3641357,PMC5144680]
Custom	Custom	[PMC2585846]
Cydoor	Cydoor	[10.1257%2Fjep.26.2.189]
Cytoscape	Cytoscape	[PMC4801132,PMC4551074,PMC2686461]
Cyworld	Cyworld	[10.1257%2Fjep.26.2.189]
DAMAVER	DAMAVER	[PMC5143422]
DAMMIN	DAMMIN	[PMC5143422]
DAS	DAS	[PMC4780720]
DAVID	DAVID	[PMC4069613,PMC5435914,PMC3505860,PMC5220168,PMC2241875]
DAVID Functional Annotation web tool	DAVID Functional Annotation web tool	[PMC3494016]
DAVID GO	DAVID GO	[PMC4069613]
DERMWIN	DERMWIN	[PMC4408226]
DESeq2	DESeq2	[PMC5129524]
DGPI	DGPI	[PMC5054108]
DIANA	DIANA	[PMC3692048]
DIANA-miRPath	DIANA-miRPath	[PMC3692048]
DIANA-microT	DIANA-microT	[PMC3692048]
DICOM	DICOM	[PMC3604266]
DINO	DINO	[PMC1934993]
DIPImage	DIPImage	[PMC4713128]
DIPimage	DIPimage	[PMC4374707]
DISOPRED	DISOPRED	[PMC2935446]
DISOPRED2	DISOPRED2	[PMC2935446]
DISOclust	DISOclust	[PMC2935446]
DISpro	DISpro	[PMC2935446]
DMol34	DMol34	[PMC3366639]
DNA Star	DNA Star	[PMC2677890,PMC3020393]
DNAMAN	DNAMAN	[PMC3927206]
DNAMaster	DNAMaster	[PMC3384331]
DNASTAR	DNASTAR	[PMC2890158]
DNAStar EditSeq	DNAStar EditSeq	[PMC5112610]
DNAssist	DNAssist	[PMC3769764]
DOS	DOS	[10.1257%2Fjep.15.2.25]
DOT	DOT	[PMC5210605]
DR-DOS	DR-DOS	[10.1257%2Fjep.15.2.25]
DRAW X4	DRAW X4	[PMC3526355]
DSSP	DSSP	[PMC1636350]
DTS	DTS	[PMC4356689]
DaliLite	DaliLite	[PMC1636350]
Dance Central	Dance Central	[PMC4977069]
Data Spread	Data Spread	[PMC4963544]
DataAnalysis	DataAnalysis	[PMC2649809]
DataView	DataView	[PMC4102165]
Database for Annotation, Visualization and IntegratedDiscovery (DAVID	Database for Annotation, Visualization and IntegratedDiscovery (DAVID	[PMC3734831]
Datastream	Datastream	[10.1007%2Fs10290-016-0264-y]
DeCyder	DeCyder	[PMC2649809]
DeMotion	DeMotion	[PMC3028489]
Dedoose	Dedoose	[PMC5214516,PMC5099213]
DeepView	DeepView	[PMC3105518,PMC3694247]
Definiens Developer	Definiens Developer	[PMC4453845]
Definiens Developer XD	Definiens Developer XD	[PMC3749580]
Dell Statistica data analysis software system	Dell Statistica data analysis software system	[PMC5271394]
Densitometric Image Analysis Software	Densitometric Image Analysis Software	[PMC3597687]
Dermal Permeability Coefficient Program (DERMWIN	Dermal Permeability Coefficient Program (DERMWIN	[PMC4408226]
Design Expert	Design Expert	[PMC3768955]
Design Expert Software	Design Expert Software	[PMC3749802]
Design-Expert	Design-Expert	[PMC3768955,PMC4057327]
Dialign	Dialign	[PMC2447753]
Dialign2	Dialign2	[PMC2447753]
DiceEval	DiceEval	[10.1007%2Fs00191-018-0558-4]
DiceKriging	DiceKriging	[10.1007%2Fs00191-018-0558-4]
DiceOptim	DiceOptim	[10.1007%2Fs00191-018-0558-4]
DigiData	DigiData	[PMC3091210]
Digital Micrograph	Digital Micrograph	[PMC2742187]
Direction of Trade CD-ROM	Direction of Trade CD-ROM	[10.1111%2Fcaje.12091]
DisPSSMP	DisPSSMP	[PMC2935446]
DisPSSMP2	DisPSSMP2	[PMC2935446]
DisPort search	DisPort search	[PMC5112610]
DisProt search	DisProt search	[PMC5112610]
DiscoverText	DiscoverText	[PMC4078681]
Discovery Studio	Discovery Studio	[PMC3829989]
Diva	Diva	[PMC4938145]
Dr. View	Dr. View	[PMC3569118]
Dragon	Dragon	[PMC4408226]
Driftscope	Driftscope	[PMC3149990]
DynaFit	DynaFit	[PMC3064789]
Dynamics	Dynamics	[PMC4356689]
Dynare	Dynare	[10.1017%2Fs1365100515000619,10.1086%2Fma.20.3585423]
E*Value	E*Value	[PMC4162729]
E-Prime	E-Prime	[PMC4763990]
E-RNAi	E-RNAi	[PMC1747177]
E-VOICE	E-VOICE	[10.3846%2Fjbem.2010.20]
EBI Intergr8	EBI Intergr8	[PMC5054108]
EBIC	EBIC	[PMC4927739]
EBSCO	EBSCO	[PMC3763098]
EBSCO Discovery Service	EBSCO Discovery Service	[10.1111%2F1475-4932.12331]
EBSD	EBSD	[PMC4927739]
EC-Lab	EC-Lab	[PMC5376127]
EHR	EHR	[PMC3365791]
EIGENSTRAT	EIGENSTRAT	[a2008-02-WATERBIRDS]
ELDA	ELDA	[PMC4667234]
ELISA	ELISA	[PMC3836143]
EMAN	EMAN	[PMC4176174]
EMBOSS	EMBOSS	[PMC3329738]
EMBOSS Needle tool	EMBOSS Needle tool	[PMC3384331]
ENSEMBL	ENSEMBL	[PMC4770866]
ENSEMBLE	ENSEMBLE	[PMC3013677]
EPP	EPP	[PMC3173807,PMC3010901]
ESEfinder	ESEfinder	[PMC3241662]
ESyPred3D	ESyPred3D	[PMC4767401]
EUROMOD	EUROMOD	[10.1007%2Fs10797-018-9484-5]
EVOC	EVOC	[PMC4292688]
EViews	EViews	[10.1007%2Fs10368-017-0398-y,10.1257%2Fjep.15.4.157]
EXCEL	EXCEL	[10.1111%2Fj.1468-0297.2008.02177.x,10.1257%2F000282805774669772]
EXSUS	EXSUS	[PMC5360432]
EXpert Choice	EXpert Choice	[10.3846%2Fbtp.2007.31]
EasyQ Director	EasyQ Director	[PMC3619072]
Echopac	Echopac	[PMC4632117]
EconCareers	EconCareers	[10.1257%2Fjep.24.4.187]
EconJobMarket.org	EconJobMarket.org	[10.1257%2Fjep.24.4.187]
Economist Jobs	Economist Jobs	[10.1257%2Fjep.24.4.187]
Eigensoft Software	Eigensoft Software	[PMC3507582]
Elance	Elance	[10.1257%2Faer.20160542]
Empower	Empower	[PMC5098543]
EndNote	EndNote	[PMC4727475]
EnsEMBL	EnsEMBL	[PMC2686489,PMC5435914]
Ensembl	Ensembl	[PMC5132076,PMC3692048,PMC5424272,PMC3567485,PMC5210542,a2004-40-NAT_GENET,PMC4066774]
Ensembl Genome Browser	Ensembl Genome Browser	[PMC3567485]
Ensembl ID	Ensembl ID	[PMC3567485]
Ensemble	Ensemble	[PMC1635254]
Ensemble genome database	Ensemble genome database	[PMC5210605]
Epi Info	Epi Info	[PMC4327489]
Epi-Info	Epi-Info	[PMC5091022,PMC4182997]
EpiData	EpiData	[PMC4590259]
EpiData EntryClient	EpiData EntryClient	[PMC5372024]
Epik	Epik	[PMC4280825]
Eprime	Eprime	[PMC4269546]
EstimateS	EstimateS	[PMC4303630]
Estimation and ProjectionPackage (EPP	Estimation and ProjectionPackage (EPP	[PMC3010901]
Ethereum	Ethereum	[10.20955%2Fr%2F2018.1-16]
EuGène	EuGène	[PMC2682500]
Eur-lex	Eur-lex	[PMC2831195]
Eurostat	Eurostat	[10.1007%2Fs10290-016-0264-y]
Eviews	Eviews	[10.1007%2Fs10368-017-0398-y,10.3846%2F1611-1699.2009.10.349-360]
Evofold	Evofold	[PMC2447753]
Exalead	Exalead	[10.1257%2Faer.104.8.2456]
Excel	Excel	[PMC4750616,PMC4922208,PMC5265988,10.1080%2F14631377.2016.1139301,PMC3646185,PMC5293311,PMC5370249,10.1257%2Fjep.26.2.189,PMC5435264,PMC4513216,PMC3589687,PMC3406768,PMC4718351,PMC5440634,PMC1851647,PMC3529531,10.3846%2F1611-1699.2009.10.169-180,PMC4784605,PMC4387613,PMC5210605,a2010-05-BMC_MOL_BIOL,PMC4535552,a2007-48-UNDERSEA_HYPERBAR_M,PMC3322527,PMC4049090,PMC4494636,PMC3859226,PMC4675816,PMC5215597,PMC4251217]
Excel Toukei	Excel Toukei	[PMC3406768]
Excel Toukei 2010	Excel Toukei 2010	[PMC3406768]
Exoniphy	Exoniphy	[PMC2447753]
Experiment Builder	Experiment Builder	[PMC4215594]
Experion	Experion	[PMC3500846]
Expert Choice	Expert Choice	[10.3846%2Fbtp.2007.31]
Expert Design Software	Expert Design Software	[PMC3749802]
Extreme Limiting Dilution	Extreme Limiting Dilution	[PMC5220128]
FAC-SDiva	FAC-SDiva	[PMC3405507]
FACS	FACS	[PMC4905837]
FACSDiva	FACSDiva	[PMC4812167,PMC4760300,PMC4396969,PMC5031952,PMC3526355,PMC3531733]
FASTA	FASTA	[PMC3769764]
FASTX	FASTX	[PMC4066774]
FASTX application	FASTX application	[PMC4066774]
FATHMM	FATHMM	[PMC5132076]
FCAP Array	FCAP Array	[PMC3526355]
FCS Express	FCS Express	[PMC4073352]
FEAT [FMRI Expert Analysis Tool	FEAT [FMRI Expert Analysis Tool	[PMC4375646]
FFT analysis	FFT analysis	[PMC5462700]
FGE-NESH+	FGE-NESH+	[PMC3223056]
FGENESH	FGENESH	[PMC4112233]
FGENESH_C	FGENESH_C	[PMC3223056]
FILM (FMRIB3s Improved Linear Model	FILM (FMRIB3s Improved Linear Model	[PMC4375646]
FIT2D	FIT2D	[PMC3890939]
FLAME (FMRIB3s Local Analysis of Mixed Effects	FLAME (FMRIB3s Local Analysis of Mixed Effects	[PMC4375646]
FLIGHT	FLIGHT	[PMC1747177]
FLIRT	FLIRT	[PMC4375646]
FMRIB Diffusion Toolbox	FMRIB Diffusion Toolbox	[PMC4683424]
FNN	FNN	[PMC4797302]
FORTRAN	FORTRAN	[10.1257%2Fjep.4.1.99,10.1111%2Fjors.12246,PMC5054038,PMC3149990]
FRONTIER	FRONTIER	[10.1080%2F13504851.2016.1167817]
FSL	FSL	[PMC4589266]
FSL (FMRIB3s Software Library	FSL (FMRIB3s Software Library	[PMC4375646]
FUGUE	FUGUE	[PMC3130168]
FW4000	FW4000	[PMC1851647]
Facebook	Facebook	[10.1257%2Fjep.26.2.189,10.1111%2Fjems.12230,10.1007%2Fs00191-017-0548-y]
Familly_Winner	Familly_Winner	[10.3846%2Fjbem.2010.28]
FastGroupII	FastGroupII	[PMC3709511]
FastPval	FastPval	[PMC2971576]
FastQC	FastQC	[PMC5132076]
FatiGO	FatiGO	[PMC2886355]
Feature Extraction	Feature Extraction	[PMC4276895,PMC2920066]
FeliX32	FeliX32	[PMC3055594]
FieldTrip toolbox	FieldTrip toolbox	[PMC3321481]
