identifier,quote,tei
PMC3428639_EK01,Data were analyzed using the Statistical Package for the Social Sciences (SPSS) windows version 13.0.,data/tei/PMC3428639.tei.xml
PMC4792857_CM02,"Tests of Hardy–Weinberg equilib-rium and Ewens–Watterson Neutrality were applied using POPGENE1.31 version (Yeh et al., 1999).",data/tei/PMC4792857.tei.xml
PMC4792857_CM03,These two methods were applied using Bottleneck v1.2.02 (http://www.ensam.inra.fr/URLB).,data/tei/PMC4792857.tei.xml
PMC4069613_HR02,The sequencing reads were aligned to the appropriate refer- ence genome (Drosophila Twelve Genomes Consortium 2007; Hu et al. 2013) using bwa version 0.5.9 (Li and Durbin,data/tei/PMC4069613.tei.xml
PMC4069613_HR04,we quantile normalized coverage for each strain in R so that coverage displayed,data/tei/PMC4069613.tei.xml
PMC3829989_PS01,"The interaction pattern analysis and force field-based minimization was performed within LigandScout 3.03, the docking simulation with MOE 2011.10 using the X-ray crystal structure of IDO.",data/tei/PMC3829989.tei.xml
PMC3220261_BB01,"All data were entered into the Statistical Program for Social Sciences (SPSS®, version 18.0).",data/tei/PMC3220261.tei.xml
10.1111%2Fjors.12202_TL04,32We used the grouped conditional logit with a STATA command “multin.”,data/tei/10.1111%2Fjors.12202.tei.xml
PMC4271550_MZ02,"Based on Pathway Analysis (Ingenuity Systems), the gut microbial composition affects the DNAmethylation status of genes primarily linked to cardiac diseases, with associations to lipid metabolism, inflammatory response, and obesity.",data/tei/PMC4271550.tei.xml
PMC5308435_MZ05,"We are grateful to the cardiovascular imaging team from theLaboratoire d’Imagerie Biome ́dicale, INSERM, France forsupplying the ART-FUN software for analysis",data/tei/PMC5308435.tei.xml
PMC4010924_JWC01,All 4 TALEs designed according to TALE-NT 2.0 failed to induce the overexpression of SCN9A,data/tei/PMC4010924.tei.xml
PMC4010924_JWC04,"analyzed using FinchTV (Geospiza). Forfull description, see Supplementary Material",data/tei/PMC4010924.tei.xml
PMC4010924_JWC06,Data collection and processing was performed using the software package Slidebook 5.0.,data/tei/PMC4010924.tei.xml
PMC4010924_JWC07,K.E. performed TALE-NT2.0 cloning and viral experiments.,data/tei/PMC4010924.tei.xml
10.1007%2Fs00148-011-0355-y_TL04,” Spherical coordinates of Census 2000 tract centroids were downloaded from the US Census Bureau (http://www. census.gov/geo/www/gazetteer/places2k.html) and converted to planar coordinates using ArcGIS software.,data/tei/10.1007%2Fs00148-011-0355-y.tei.xml
PMC4771038_JWC01,Stimuli were created in MATLAB 2013b andpresented via an RME Fireface,data/tei/PMC4771038.tei.xml
PMC4771038_JWC03,Subsequent off-lineanalysis was conducted in MATLAB 2013b.,data/tei/PMC4771038.tei.xml
PMC4345638_SK01,Amino acids sequences of human UbcH5s were aligned using CLUSTRALW.,data/tei/PMC4345638.tei.xml
PMC3664807_JWC02,"All curves were plottedwith the KaleidaGraph software, and the thermophoresissignals were fitted with the Hill equation corrected",data/tei/PMC3664807.tei.xml
PMC2773253_TL01,Mobyle: a new full web bioinformatics framework,data/tei/PMC2773253.tei.xml
PMC2773253_TL03,"Mobyle offers invocation of services distributed over remote Mobyle servers, thus enabling a federated network of curated bioinformatics portals without the user having to learn complex concepts",data/tei/PMC2773253.tei.xml
PMC2773253_TL05,"While being focused on the end user, the Mobyle system also addresses the need, for the bioinfomatician, to automate remote services execution",data/tei/PMC2773253.tei.xml
PMC2773253_TL06,"PlayMOBY is a companion tool that automates the publication of BioMOBY web services, using Mobyle program definitions.",data/tei/PMC2773253.tei.xml
PMC2773253_TL08,The Mobyle system is distributed under the terms of the GNU GPLv2 on the project web site (http://bioweb2.pasteur.fr/ projects/mobyle/).,data/tei/PMC2773253.tei.xml
PMC2773253_TL09,"The PlayMOBY companion is distributed under the terms of the CeCILL license, and is available at http://lipm-bioinfo.toulouse.inra.fr/biomoby/PlayMOBY/",data/tei/PMC2773253.tei.xml
PMC2773253_TL51,"For instance, in the Mobyle Pasteur server, Fig. 3. Mobyle components overview. the user can align a set of protein sequences using the clustalwmultialign",data/tei/PMC2773253.tei.xml
PMC2773253_TL60,"Mobyle network architecture. The Mobyle server can invoke either local or remote programs, integrating them in a single work environment.",data/tei/PMC2773253.tei.xml
PMC2773253_TL74,"3.6 Deploying BioMOBY services from Mobyle program descriptions, using PlayMOBY",data/tei/PMC2773253.tei.xml
PMC3032512_CB01,"In this model, time-lapse video sequences (Figures 2a–e and Supplementary Videos 1 and 2) of single retinal areas over 5 h revealed a random distribution and appearance of apoptotic and necrotic cells, which was particularly highlighted by the 3D surface plot (Supplementary Video 2), and the average intensity projections of the time-lapse sequence shown in Figures 2f and g (generated by ImageJ RGB Zprojector plugin).",data/tei/PMC3032512.tei.xml
PMC3032512_CB02,". (f, g) Average fluorescence intensity projections of video sequences using ImageJ RGB Zprojector plugin with annexin/PI.",data/tei/PMC3032512.tei.xml
PMC3692048_HR02,"DIANA-microTweb server (http://www.microrna.gr/webServer) isdedicated to miRNA target prediction/functionalanalysis,",data/tei/PMC3692048.tei.xml
PMC3692048_HR03,"DIANA-microT v5.0, the new version of the microTserver, has been significantly enhanced",data/tei/PMC3692048.tei.xml
PMC3692048_HR04,"DIANA-microT web server v5.0 also supports a com-plete integration with the Taverna WorkflowManagement System (WMS),",data/tei/PMC3692048.tei.xml
PMC3692048_HR23,Example of a submitted query in the DIANA-microT web server v5.0.,data/tei/PMC3692048.tei.xml
PMC4303630_CB05,"Population structure was evaluated using the Bayesian clustering method implemented in InStruct, which does not assume Hardy–Weinberg Equilibrium, accounts for inbreeding, and makes no a priori assumptions about the sampling location of the genotypes (Gao et al., 2007).",data/tei/PMC4303630.tei.xml
PMC4303630_CB06,"Analyses of the resulting ancestry profiles evaluating and quantifying the contribution of niche and geographic region to population structure was conducted with ObStruct (Gayevskiy et al., 2014).",data/tei/PMC4303630.tei.xml
PMC4182997_FJ02,"For data analysis we used the software Epi-Info 6.04 and the Statistical Package for the Social Sciences (SPSS), version 17.0",data/tei/PMC4182997.tei.xml
PMC4112233_MZ06,"A, Predicted topology by Phobius software; B, Schematicdescription based on the predicted topology.",data/tei/PMC4112233.tei.xml
PMC2816832_MD02,"GeneScan3.7 (Applied Biosystems, Foster City, CA, U.S.A.) were used.",data/tei/PMC2816832.tei.xml
PMC4012704_AN01,"Data was analyzed with Statistical Package for the Social Sciences (SPSS) software version 17 (SPSS Inc Chicago, Ill, USA).",data/tei/PMC4012704.tei.xml
10.1111%2Fj.1467-6419.2007.00527.x_TL04,"Finally, <ref type=""bibr"" target=""#b33"">Abadie et al. (2004)</ref> offer the programme nnmatch for implementing covariate matching,",data/tei/10.1111%2Fj.1467-6419.2007.00527.x.tei.xml
PMC3589787_MS09,Inter-andintraspecificdistancesforeachindividualdatasetwerecalculatedusingMEGAv.4.0(Tamuraetal.2007)usingtheKimura-2-parameter(pair-wisedeletion)model.,data/tei/PMC3589787.tei.xml
PMC3589787_MS10,SubsetofBayesian50%majorityruleconsensustreesoftheindividualtestlociincorporatingallMycosphaerellaceaequarantinespecies(markedingrey)andtheirclosestneighbourspeciesasdeterminedfromthefull-scaleindividuallocitreescontainingthecompletedataset(availableassupplementarydatainTreeBASE).,data/tei/PMC3589787.tei.xml
10.1007%2Fs11123-009-0142-x_AN07,"the ""R"" packages ‘‘frontier’’ (Coelli and Henningsen 2009), ‘‘mic- Econ’’ (Henningsen 2008), and ‘‘quadprog’’ (Turlach and Weingessel 2007).",data/tei/10.1007%2Fs11123-009-0142-x.tei.xml
PMC4760300_CM01,Data wereanalyzed with FACSDiva Version 6 software (BD Biosciences) orFlowJo Version 8.4 software (TreeStar).,data/tei/PMC4760300.tei.xml
PMC5098131_YK01,Olympus camera (BX51) and the cellSens Dimension software (Olympus).,data/tei/PMC5098131.tei.xml
PMC5098131_YK02,Data analysis was performed using the BioMark Real-Time PCR Analysis and Singular Analysis Toolset software (Fluidigm).,data/tei/PMC5098131.tei.xml
PMC5407229_MZ01,"Independent-samples t-test and analysis of variance (ANOVA) were used for comparison between groups, and Pearson correlationcoefficient and linear regression were used to assess the correlation between study parameters and EHEALSscore using SPSS version 21.",data/tei/PMC5407229.tei.xml
PMC5419227_YK01,The AMSTAR (assessing the methodological quality of systematic reviews) tool was used for screening available reviews.,data/tei/PMC5419227.tei.xml
PMC5419227_YK02,We pooled results using meta-analysis methods by Stata statistical package.,data/tei/PMC5419227.tei.xml
PMC5419227_YK06,in the initial evaluation were criticized with the AMSTAR tool by three researchers,data/tei/PMC5419227.tei.xml
PMC3935166_MZ04,"OnlineTED”wasdevelopedatTechnischeUni-versitätMünchen(TUM)basedonHypertextPreprocessor(PHP)with1TechnischeUniversitätMünchen(TUM),InstituteofaMyStructuredQueryLanguage(MySQL)-databaseasserver-andPharmacologyandToxicology,Munich,GermanyJavascriptasclient-sideprogramminglanguages.",data/tei/PMC3935166.tei.xml
PMC3935166_MZ18,“OnlineTED”enableslecturerstocreateandmanagequestionsetsonlineandstartpollsin-classviaaweb-browser.,data/tei/PMC3935166.tei.xml
PMC3935166_MZ19,"Apaper-basedsurveywasconductedwithundergraduatemedicalstudentsandlecturersatTUMtocompare""OnlineTED""withconventionalARsystemsusingclickers.",data/tei/PMC3935166.tei.xml
PMC3935166_MZ20,"OnlineTED""receivedabove-averageevaluationresultsbybothstudentsandlecturersatTUMandwasseenonparorsuperiortoconventionalARsystems.",data/tei/PMC3935166.tei.xml
PMC3935166_MZ21,“OnlineTED”isanovelweb-basedandplat-form-independentARsystemforhighereducationthatwaswellreceivedbystudentsandlecturers,data/tei/PMC3935166.tei.xml
PMC3935166_MZ31,"Figure1:Structureandfeaturesofthemainpagein""OnlineTED"".",data/tei/PMC3935166.tei.xml
PMC3935166_MZ32,"Figure2:Structureandfeaturesofthepolleditorin""OnlineTED"".",data/tei/PMC3935166.tei.xml
PMC3935166_MZ49,Figure4:Comparisonof“OnlineTED”withaconventionalARsystemusingclickers.,data/tei/PMC3935166.tei.xml
