id,origin,DOI,PMID,PMCID
a390909d47,PMC5306244,10.1007/s13318-016-0319-4,26820265,PMC5306244
fdd3df4920,PMC5181807,10.1097/md.0000000000005368,28002323,PMC5181807
c62eabe302,PMC4542943,10.3732/apps.1500039,26312196,PMC4542943
bb52fb6f1f,PMC3965081,10.1093/nar/gkt1081,24265224,PMC3965081
bd7779a9c7,PMC4621840,10.1083/jcb.201506119,26483554,PMC4621840
eb06abfd6c,PMC2768238,10.3349/ymj.2009.50.5.644,19881967,PMC2768238
b1bec48556,PMC2846736,10.4168/aair.2010.2.2.127,20358027,PMC2846736
c6676625dc,PMC2652046,10.1093/jxb/ern319,19112171,PMC2652046
b43a32e471,PMC2935446,10.1093/bioinformatics/btq373,20823312,PMC2935446
f78d8af6e0,10.1257%2Fjep.31.1.49,10.1257/jep.31.1.49,,
d1fcb47bd8,PMC4853588,10.1136/acupmed-2015-010840,26438555,PMC4853588
dcaa921fa3,PMC3130168,10.1093/jxb/err016,21414959,PMC3130168
f9035b1dbe,PMC4505989,10.5812/ijp.25(3)2015.401,26199707,PMC4505989
c3e898ed1b,PMC5122609,10.1007/s40266-016-0408-8,27734278,PMC5122609
bb5a04b446,PMC3749802,10.4161/biomatter.25102,,PMC3749802
e914aa0fac,PMC3632766,10.1038/ijos.2013.17,23558343,PMC3632766
ac1bcc29a8,PMC4958647,10.4162/nrp.2016.10.4.433,27478551,PMC4958647
c89554d7f3,10.1111%2Fjors.12246,10.1111/jors.12244,,
f194cfe08e,PMC4468934,10.2147/dddt.s80979,26089647,PMC4468934
ac01fd33cb,PMC4922208,10.17795/ijcp-5443,27366315,PMC4922208
dc8cfc2684,PMC5054038,10.1016/s1672-0229(06)60021-1,16970549,PMC5054038
d4833b3cbf,PMC2995975,10.3349/ymj.2010.51.6.888,20879056,PMC2995975
f864fdada0,PMC4930282,10.4062/biomolther.2015.176,27068262,PMC4930282
a9d1eb8edf,PMC5334298,10.1111/1759-7714.12411,28083984,PMC5334298
c01189bbb3,PMC5018703,10.15537/smj.2016.8.14494,27464863,PMC5018703
b887c9c959,PMC4930280,10.4062/biomolther.2015.130,27169819,PMC4930280
a11d556042,PMC4564743,10.3340/jkns.2015.58.2.119,26361527,PMC4564743
ce5ae20ce8,PMC3722356,10.1093/brain/awt190,23884812,PMC3722356
df6fbf23de,PMC3202757,10.1128/mbio.00138-11,22045987,PMC3202757
f91f5920ad,10.1111%2Fcoep.12223,10.1111/coep.12223,,
c0ded04a6d,PMC4628493,10.5037/jomr.2015.6305,26539287,PMC4628493
af319cf8ea,PMC4513598,10.3109/17453674.2014.1003488,25582134,PMC4513598
d7257741f8,PMC4091108,,,PMC4091108
fd35f250d0,PMC3875508,,,PMC3875508
f4fe63a515,PMC4272508,10.5455/medarh.2014.68.113-116,24937935,PMC4272508
cac0fbaa59,PMC4820668,10.1097/ede.0000000000000385,26441345,PMC4820668
b848fbd0a8,PMC3134982,10.2174/1874325001105010219,21760868,PMC3134982
c91bab2cfc,PMC3386209,10.1091/mbc.e12-01-0033,22573892,PMC3386209
f58780be93,PMC4666316,10.2147/shtt.s59500,26636049,PMC4666316
fdd7a14e08,PMC4751907,10.2147/ott.s100105,26917973,PMC4751907
f0a506d0ea,PMC5359137,10.2147/ppa.s119256,28352162,PMC5359137
d1fafa63fb,PMC4157927,10.12965/jer.140145,25210695,PMC4157927
b11089e652,PMC3289039,10.1038/srep00290,22375251,PMC3289039
e446f8211c,PMC3595621,,,PMC3595621
aea7683334,PMC5348473,10.21147/j.issn.1000-9604.2017.01.04,28373751,PMC5348473
d55cfe3dc9,PMC5359128,10.2147/ott.s118151,28352192,PMC5359128
cd97d46a88,PMC4898854,,,PMC4898854
afca882c2b,PMC4723022,10.2147/ndt.s90596,26848266,PMC4723022
f5ee0aac54,PMC2759333,10.1093/brain/awp060,19321463,PMC2759333
d17a05a47f,10.1111%2Fj.1538-4616.2008.00153.x,10.1111/j.1538-4616.2008.00153.x,,
b4e3e280d1,10.1007%2Fs11149-006-9012-x,10.1007/s11149-006-9003-y,,
b295ed8028,PMC3944114,10.1038/psp.2013.76,24522146,PMC3944114
e59c847600,PMC3781569,10.2337/dc13-0333,23877978,PMC3781569
abff41cd16,PMC3202792,10.1038/msb.2011.52,21811229,PMC3202792
c126c7c218,PMC5295802,10.2147/cmar.s115835,28203105,PMC5295802
c37baf4c08,PMC4027884,10.1038/srep04946,24844938,PMC4027884
a4e5850a39,PMC5128353,10.4306/pi.2016.13.6.644,27909456,PMC5128353
bec2c58281,PMC4478301,10.1159/000381963,26120323,PMC4478301
e97dafa842,PMC3212591,10.5213/inj.2011.15.3.166,22087426,PMC3212591
a647f3a5a5,10.1007%2Fs10614-011-9257-z,10.1007/s10614-011-9257-z,,
c4606e33d4,PMC5467422,10.1093/jhps/hnw037,28630718,PMC5467422
c1fd449f43,PMC2991579,10.4111/kju.2010.51.11.794,21165202,PMC2991579
fec5c6dcaf,PMC3793542,10.1136/fl,,PMC3793542
dd3c46cc39,PMC3140372,,,PMC3140372
a954843cac,PMC4267110,10.1136/openhrt-2014-000148,25525506,PMC4267110
ef389fba4d,PMC5084721,10.1093/ofid/ofw153,27800527,PMC5084721
d984c41c4d,PMC5238813,10.2147/dddt.s119432,28138223,PMC5238813
a902586784,PMC5238813,,,
c7b1e2c36c,PMC4303280,10.14245/kjs.2014.11.4.221,25620981,PMC4303280
cc6bb74752,PMC4914536,10.1007/s40801-016-0077-2,27398300,PMC4914536
df91695b9a,PMC4958110,10.1016/j.artd.2015.09.001,28326386,PMC4958110
d20a511e43,PMC5144905,10.2147/copd.s120637,27980399,PMC5144905
d8bf6fa9c8,10.1007%2Fs00191-018-0558-4,10.1007/s00191-018-0558-4,,
d2a6c94fd8,PMC4250666,10.4041/kjod.2014.44.6.320,25473648,PMC4250666
d82798cdef,PMC4559775,10.3348/kjr.2015.16.5.1038,26357498,PMC4559775
d1084322b7,10.1257%2Faer.104.8.2456,10.1257/aer.104.8.2456,,
c863e113c0,PMC4600182,10.1136/bmjdrc-2015-000125,26468399,PMC4600182
df0375fc56,PMC2780877,10.2337/db09-0874,19720796,PMC2780877
ac60932e60,PMC5012598,10.2147/dddt.s114761,27621595,PMC5012598
ed3e9a3f12,PMC2831195,10.2174/1874613601004020062,20200607,PMC2831195
e5dbee7212,PMC4350160,10.5812/aapm.22007,25789235,PMC4350160
e5fef7a76c,PMC5091065,10.12965/jer.1632666.333,27807528,PMC5091065
c5c25021d1,PMC4582561,10.1038/ijos.2015.8,26756046,PMC4582561
e10d796729,PMC1747177,10.1093/nar/gkl906,17135194,PMC1747177
fb8259bead,PMC4201231,10.4062/biomolther.2014.051,25414776,PMC4201231
b18929bc72,PMC4935458,10.3892/ijmm.2016.2631,27279555,PMC4935458
f1152d8271,PMC3464772,10.1038/bjc.2012.351,22892392,PMC3464772
d10e93daf5,PMC5241585,10.1016/j.ijpddr.2016.12.005,28107750,PMC5241585
fcc1c07d38,10.1080%2F00220485.2017.1353464,10.1080/00220485.2017.1353464,,
e47e4e7c89,PMC5308490,10.19082/3523,28243402,PMC5308490
a74562d5ad,PMC5373906,10.1539/joh.16-0049-oa,27725377,PMC5373906
e35f406354,PMC4236336,10.4103/1008-682x.129940,25130472,PMC4236336
e254ad336a,PMC4647257,10.1038/bjc.2015.110,25880009,PMC4647257
c324bcb6a5,PMC3368359,10.3389/fnmol.2012.00069,22685426,PMC3368359
ff409f9fa5,PMC4687766,,,PMC4687766
fdcb3e5eaa,PMC4615214,10.1080/15476286.2015.1008373,25751035,PMC4615214
deaf869ee1,PMC3093010,10.5056/jnm.2011.17.2.174,21602995,PMC3093010
f33561e03e,PMC4775480,10.1590/1413-785220152305138846,26981036,PMC4775480
c54f73b855,PMC3225968,10.1128/mbio.00241-11,22128349,PMC3225968
d39a0e7d68,PMC5050532,10.14348/molcells.2016.0125,27646689,PMC5050532
ef431b27bc,PMC3500846,10.1038/srep00874,23166857,PMC3500846
b2c377f5bb,PMC5032163,10.5114/wo.2016.61855,27688732,PMC5032163
f8e37ebc6c,PMC5016904,10.1080/17453674.2016.1203477,27347785,PMC5016904
d3aab1806e,PMC5413540,10.2147/copd.s127540,28490871,PMC5413540
e640a8dfa4,PMC4853138,10.2147/ott.s86139,27217769,PMC4853138
ffc02ff492,PMC4792857,10.1016/j.mgene.2016.01.002,27014586,PMC4792857
dac2aee1c2,PMC5016906,10.1080/17453674.2016.1212180,27435903,PMC5016906
e962e84204,PMC2867195,10.4055/cios.2010.2.2.105,20514268,PMC2867195
d2211e3b11,PMC4767401,10.1002/ana.24485,26179960,PMC4767401
ce68b79a57,PMC3563119,10.1136/bmjopen-2012-002125,23355669,PMC3563119
bce7e2df2f,PMC4069613,10.1093/molbev/msu124,24710518,PMC4069613
edbdad4810,PMC3829989,10.1016/j.fob.2013.08.008,24251110,PMC3829989
e2a9e3ec94,PMC4231936,10.2337/diaspect.27.4.265,25647048,PMC4231936
de930f277e,PMC3371588,10.1038/srep00449,22690318,PMC3371588
ec2d760ae5,PMC4216798,10.7150/jca.9696,25368674,PMC4216798
daf27686de,10.1111%2Fjors.12202,10.1111/jors.12202,,
f5bd06567c,PMC4271550,10.1128/mbio.02113-14,25516615,PMC4271550
e6156a1acf,PMC3589720,10.1038/srep01390,23462645,PMC3589720
e4f159b9a7,PMC4779866,10.3346/jkms.2016.31.3.410,26955242,PMC4779866
fc58ad071d,PMC3405507,10.1084/jem.20120033,22734046,PMC3405507
bda8ed08f7,PMC3691566,10.1038/srep02069,23797713,PMC3691566
ac3d222968,PMC3430911,10.5491/shaw.2011.2.4.365,22953221,PMC3430911
dbbf859bc1,PMC3488743,10.1136/bmjopen-2012-000998,23087011,PMC3488743
eac3fa7d66,PMC4338086,10.3342/ceo.2015.8.1.13,25729490,PMC4338086
b8e692c467,PMC5019152,10.1002/pds.3908,26572776,PMC5019152
a6468f082a,PMC2742187,10.1083/jcb.200904090,19720874,PMC2742187
b0c5eff5b2,PMC3749346,10.2337/db12-1300,23670971,PMC3749346
a9a8cc0d99,PMC5414882,10.1080/2162402x.2016.1278332,28507789,PMC5414882
e08dd63f27,PMC3318936,10.1159/000335750,22479264,PMC3318936
e043051487,PMC3357263,10.2337/db11-0952,22427379,PMC3357263
c56ac6ce05,PMC5308435,10.1177/2048004017690988,28228942,PMC5308435
cd173958e5,PMC3464321,10.3341/kjo.2012.26.5.369,23060724,PMC3464321
be3bdc5c5f,PMC4304534,10.2147/cia.s74071,25632227,PMC4304534
cf16799dca,PMC3956627,10.2147/ijn.s56298,24648726,PMC3956627
f67037c012,PMC3029787,10.4162/nrp.2010.4.6.470,21286404,PMC3029787
d539045eca,PMC4010924,10.1038/srep04857,24798576,PMC4010924
a5e91fca27,PMC2971576,10.1093/bioinformatics/btq540,20861029,PMC2971576
ad2cc0550b,PMC5421174,10.4103/0366-6999.204925,28469099,PMC5421174
d80e69331f,PMC3105518,10.1085/jgp.201010560,21624949,PMC3105518
d75ba7b29c,PMC3030791,10.4293/108680809x12589998404407,20202397,PMC3030791
d1cff79b18,PMC3664807,10.1093/nar/gkt218,23580549,PMC3664807
ab4ece12b6,PMC4963544,,,PMC4963544
e5f74d256f,PMC4147369,10.1038/srep06215,25163607,PMC4147369
f93bccf182,PMC4276895,10.5115/acb.2014.47.4.217,25548719,PMC4276895
bb469ce67b,PMC3880993,10.7150/ijms.7426,24396288,PMC3880993
f62ce9f2d0,10.3846%2Fbtp.2013.31,10.3846/btp.2013.31,,
d7247ec424,PMC3129971,10.1590/s1807-59322011000600020,21808872,PMC3129971
b9d7434a5c,PMC3474945,10.2174/1874205x01206010104,23091571,PMC3474945
df40409ada,PMC4583819,10.1002/ana.24494,26224283,PMC4583819
a84aee3b5a,PMC4616920,10.1590/s0036-46652015000400011,26422159,PMC4616920
dd70cb48f4,PMC3245946,10.1093/nar/gkr756,21914723,PMC3245946
be755fd7e7,PMC3595153,10.1136/sextrans-2012-050557,23002191,PMC3595153
ff5f687d2c,PMC5132076,10.1167/iovs.16-19785,27898983,PMC5132076
d3d8ac4338,PMC4138420,,,PMC4138420
c26148552a,PMC4304516,10.14701/kjhbps.2013.17.4.152,26155231,PMC4304516
c1b2a8aa71,PMC5265988,10.1097/md.0000000000005407,27930516,PMC5265988
d414802b37,PMC5376127,,,PMC5376127
d88702e398,10.3846%2Fbtp.2013.27,10.3846/btp.2013.27,,
ab806da0e7,PMC4123385,10.3732/apps.1300057,25202597,PMC4123385
b630f350e7,PMC4986689,10.2147/cpaa.s105165,27570467,PMC4986689
a5c2e682e4,PMC2773253,10.1093/bioinformatics/btp493,19689959,PMC2773253
bb9998316e,PMC2731890,10.1093/nar/gkp490,19528070,PMC2731890
facbd4c108,PMC3032512,10.1038/cddis.2009.3,21364622,PMC3032512
b14056cec7,PMC3028489,10.1364/boe.2.000139,21326644,PMC3028489
fc711e5494,PMC4240489,10.3342/ceo.2014.7.4.307,25436051,PMC4240489
dfd6bb897c,PMC5446083,10.1080/15548627.2017.1287653,28296541,PMC5446083
f3453e985e,PMC4230620,10.1091/mbc.e14-06-1091,25232003,PMC4230620
e0f8a9f552,PMC3692048,10.1093/nar/gkt393,23680784,PMC3692048
b379ec0909,10.3846%2Fbtp.2013.11,10.3846/btp.2013.11,,
f898c50983,10.1111%2F1475-4932.12331,10.1111/1475-4932.12331,,
ba8a29bc3c,PMC2935919,10.3402/gha.v3i0.5252,20838628,PMC2935919
e74241a240,PMC4264456,10.1038/bjc.2014.567,25349970,PMC4264456
ffa49c0ca0,PMC3927206,10.1038/srep04121,24535056,PMC3927206
da1ba07232,PMC3138425,10.1093/gbe/evr051,21670083,PMC3138425
fa3ec517f0,PMC4355434,10.4111/kju.2015.56.3.227,25763127,PMC4355434
d360ad3f81,PMC2606938,10.1085/jgp.200810154,19114638,PMC2606938
bbfd945939,PMC3731646,10.1038/srep02349,23907148,PMC3731646
a6cf542a09,PMC4496510,10.5535/arm.2015.39.3.393,26161345,PMC4496510
fac4e9a715,PMC4938145,10.2147/ijn.s109059,27445473,PMC4938145
a57f2f8e7a,PMC4575381,10.1007/s00198-015-3253-4,26282229,PMC4575381
cc5f38258d,PMC3173807,10.1136/sti.2010.044784,20929855,PMC3173807
cca4ba46a0,PMC3890344,10.1091/mbc.e13-08-0453,24258025,PMC3890344
dbf01250c9,PMC1635254,10.1093/nar/gkl551,17041235,PMC1635254
a4f4d258e2,PMC4303630,10.1038/ismej.2014.132,25062126,PMC4303630
cd795ee80d,PMC5020575,10.7874/jao.2016.20.2.85,27626081,PMC5020575
e447064564,PMC4272497,10.5455/medarh.2014.68.106-109,24937933,PMC4272497
d4dd357178,PMC5065646,10.1016/j.nmni.2016.09.001,27766158,PMC5065646
ff9f818eb2,PMC5371709,10.5114/wo.2016.64605,28373824,PMC5371709
fa456ac0f9,PMC4357677,10.1159/000375230,25802504,PMC4357677
f3b95016d0,PMC4918545,10.3892/mmr.2016.5272,27177391,PMC4918545
af80f41af2,PMC5132031,10.1111/dote.12345,25809390,PMC5132031
c5b39b84f8,PMC4054524,10.1016/s0920-9964(97)82553-4,,PMC4054524
fa73e68399,PMC2890364,10.2337/dc10-0013,20587725,PMC2890364
c14654bd29,PMC4299502,10.1002/ijc.29217,25220031,PMC4299502
cb5e133bb2,PMC2826650,10.1093/jxb/erp371,20022923,PMC2826650
a07ca9d405,PMC4870544,10.5812/ijhrba.22243,27218064,PMC4870544
b89ebe44d0,PMC4668168,10.1589/jpts.27.3211,26644677,PMC4668168
eda5bdd1ed,PMC4965703,10.1089/pop.2015.0097,26565379,PMC4965703
e97382ab7a,PMC5271396,10.2147/ott.s122774,28176958,PMC5271396
d0632d7364,PMC5271394,10.2147/opth.s127279,28176960,PMC5271394
da24894043,PMC4959023,10.14348/molcells.2016.0121,27378227,PMC4959023
ccdb374143,PMC5440747,10.1016/j.redox.2017.05.003,28531964,PMC5440747
a4f306e32b,PMC5451875,10.3892/mco.2017.1231,28588778,PMC5451875
af9ad5f83b,PMC4634381,10.1093/hmg/ddv386,26420842,PMC4634381
f889103c1a,PMC3741479,10.1093/rheumatology/ket185,23704321,PMC3741479
f0315a8cad,PMC3149990,10.3791/1985,20729801,PMC3149990
e079eb9bf2,PMC4453845,10.1038/bjc.2014.396,25032733,PMC4453845
e81a763fd1,PMC4219874,,,PMC4219874
cfa546ccbc,PMC5098543,10.4062/biomolther.2016.019,27302962,PMC5098543
be0482845f,10.1080%2F14631377.2016.1139301,10.1080/14631377.2016.1139301,,
d4c8161f0f,PMC4182997,10.1590/s0103-05822014000100013,24676194,PMC4182997
ae5f9989d3,PMC3284254,10.3389/fgene.2012.00010,22371710,PMC3284254
c30d7c74a2,PMC3284254,,,
bef334d918,PMC3335898,10.4093/dmj.2012.36.2.157,22540053,PMC3335898
ece74e37d3,PMC4112233,10.5941/myco.2014.42.2.167,25071386,PMC4112233
bc8828b17b,PMC5041470,10.1093/nar/gkw573,27365048,PMC5041470
f42a73a7db,PMC5041470,,,
b60f0dc587,PMC4012704,10.4103/0976-0105.128244,24808682,PMC4012704
d58afae3d3,10.1111%2Fj.1467-6419.2007.00527.x,10.1111/j.1467-6419.2007.00527.x,,
d48df52443,PMC3589787,10.3767/003158512x661282,23606768,PMC3589787
fc493cc8b9,PMC2638544,10.1093/aje/kwn250,18945690,PMC2638544
cfd6e03e2a,PMC3822024,10.4097/kjae.2013.65.4.322,24228145,PMC3822024
e4258645ad,PMC3824685,10.1038/cddis.2013.376,24157866,PMC3824685
bf257a9086,10.1007%2Fs11123-009-0142-x,10.1007/s11123-009-0142-x,,
b32ed9e732,PMC3639448,10.1038/srep01756,23629008,PMC3639448
b63bae43ca,PMC2518487,10.2337/db08-0356,18567821,PMC2518487
beb9cfd1cc,PMC2703206,10.2174/1874306400903010067,19572025,PMC2703206
abb506f114,PMC4003544,10.7150/ijms.8096,24782648,PMC4003544
b02225b66c,PMC2518490,10.2337/db07-0981,18519803,PMC2518490
f9b171fb54,PMC3388559,10.1038/bjc.2012.183,22555398,PMC3388559
cc9c3445f9,10.1257%2Faer.102.3.691,10.1257/aer.102.3.691,,
abfc2d771b,PMC2827497,10.2337/dc09-1840,20032279,PMC2827497
ed506dd278,PMC3734831,10.1038/cddis.2013.9,23449455,PMC3734831
bd736a9793,PMC3834693,10.5114/pdia.2013.33374,24278041,PMC3834693
b592cc489b,PMC5407229,10.19082/3966,28461871,PMC5407229
ad58c4e189,PMC4585391,,,PMC4585391
fe17b3c08b,PMC5419227,,,PMC5419227
f17f327707,PMC3935166,,,PMC3935166
f8c73042e9,PMC3315194,10.5625/lar.2012.28.1.1,22474468,PMC3315194
ac1ff5ee2f,PMC4634622,10.1016/j.ebiom.2015.08.031,26629538,PMC4634622
c8fedf6a4c,PMC3361050,10.5114/aoms.2012.28565,22662011,PMC3361050
edae888741,PMC4989431,10.4103/0366-6999.187857,27503025,PMC4989431
a93a03fd35,PMC5089661,10.1002/cyto.a.22887,27272602,PMC5089661
e35b62ad79,10.1007%2Fs10797-018-9484-5,10.1007/s10797-018-9484-5,,
e31a0e8b64,PMC5132146,,,PMC5132146
e5f17ad2f0,10.1111%2Fkykl.12110,10.2139/ssrn.2426106,,
c837a5089a,PMC3389425,10.1038/bjc.2012.235,22644300,PMC3389425
a37a4e9795,PMC3932086,10.1093/schbul/sbt044,23599250,PMC3932086
cc0e22dd58,PMC3013714,10.1093/nar/gkq1138,21112873,PMC3013714
a89578c2b4,PMC5372019,10.1136/bmjopen-2016-013880,28360242,PMC5372019
be98b1df4e,PMC3776217,10.7150/thno.6811,24052806,PMC3776217
ef0d91fda1,PMC5287949,10.1097/md.0000000000005778,28121925,PMC5287949
f667c79b23,PMC4473108,10.1093/ofid/ofv048,26110163,PMC4473108
a998831a43,PMC3088464,10.1136/bmjqs.2010.042689,21209144,PMC3088464
bf558ae4fc,PMC4280887,10.1002/hipo.22314,24910241,PMC4280887
fea5ac1c41,PMC3796294,,,PMC3796294
dbf5f0e29c,PMC3674238,10.1038/ncomms2795,23651995,PMC3674238
ba504ebbc7,PMC3646185,10.1136/bmjopen-2012-002378,23645921,PMC3646185
c22e3c812a,10.1257%2Fjep.24.4.187,10.1257/jep.24.4.187,,
a52ccb74d3,PMC5098113,10.5812/asjsm.35289,27826403,PMC5098113
b87704d2e5,PMC5372024,10.1136/bmjopen-2016-013289,28336737,PMC5372024
f65f68bcfb,PMC4967653,10.5114/ceji.2016.60994,27536205,PMC4967653
f3648321bf,PMC4801132,10.2147/copd.s100352,27042044,PMC4801132
d7967df462,PMC4968915,10.1167/iovs.15-18911,27409503,PMC4968915
b553acc7a5,PMC4846046,10.2147/ijgm.s92404,27143952,PMC4846046
eafdbfbc00,PMC5063056,10.1167/iovs.16-19309,27711909,PMC5063056
b79ed35eae,PMC5266189,10.1097/md.0000000000005878,28079827,PMC5266189
ad038d0cf7,PMC1538888,10.1093/nar/gkl264,16845117,PMC1538888
f08d61c47e,PMC2708934,10.1042/bj20090427,19422324,PMC2708934
c6b4ba2c07,PMC4062317,,,PMC4062317
ae6c66dcd8,PMC3865386,,,PMC3865386
