schema_namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,task_uuid,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,da6b0a36-19f3-450f-90c5-00cbb2e7d52a,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q34,Please find and highlight any URL associated with the software near the bolded text on the left (It could be the URL of the software repository or the project landing page. e.g. - http://timat2.sourceforge.net):,T1.Q34.A2,"No, I cannot find any relevant URL in the article.",aa271936-436a-4d00-9492-43213998f9e5,da6b0a36-19f3-450f-90c5-00cbb2e7d52a,"No, I cannot find any relevant URL in the article.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,dd9a6047-e4a6-418b-b3b4-f1dcf60ca0c0,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q35,"Please find and highlight the developer of the software near the bolded text on the left, it could be individuals or organizations. (e.g., - Microsoft - R Development Core Team - Neck, R., Hager, M., & Behrens, D.)",T1.Q35.A2,"No, I cannot find the developer information in the article.",e3bb67c0-e587-443e-8c9b-cd73a1ba108c,dd9a6047-e4a6-418b-b3b4-f1dcf60ca0c0,"No, I cannot find the developer information in the article.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,1ae23012-8cdd-4bb5-abcc-1f52e44b11bb,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q91,(optional) Please leave comments on what might be confusing and suggest ways we might clarify definitions or improve our prompts to better guide contributors' efforts.,T1.Q91.A1,placeholder answer for TEXT,54d12f42-2171-4640-be06-8d25fb8780d7,1ae23012-8cdd-4bb5-abcc-1f52e44b11bb,,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,b79b816d-e594-4768-957c-f89a9d00a816,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q1,"Do you think the entity displayed in bold font on the left is properly classified as a specific piece of software? (i.e., not a general class of software)? (We encourage you to search the Internet to verify your answer. For example, you can use the word in bold text + ""software"" as your Google search terms or other search terms of your choice, find relevant information by reading the search results, and then make your judgment.)",T1.Q1.A3,Equal chance it is or is not a specific piece of software,5c0c6e4b-b648-4f96-a48d-68925fddeac6,b79b816d-e594-4768-957c-f89a9d00a816,Equal chance it is or is not a specific piece of software,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,cfb6a9b5-5100-40f0-99dc-4299e54d5df4,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q31,Please find and highlight the name of the software in/near the bolded text in the article on the left:,T1.Q31.A1,"Yes, Iâ€™ve found the name of the software in the article.",15eb0755-71dd-4316-af40-d92b9f39f670,cfb6a9b5-5100-40f0-99dc-4299e54d5df4,"Yes, Iâ€™ve found the name of the software in the article.",1,1,1778,1783,OPAAS
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,3b6c270c-8960-4ed4-9854-73376eecada5,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q32,Please find and highlight the version number of the software near the bolded text on the left (e.g. - v34 - beta 0.3 - version 2.0 - 1.3.2):,T1.Q32.A2,"No, I cannot find the version number in the article.",c1cb0ee4-e9ab-41e2-bac5-4bf16f2aff92,3b6c270c-8960-4ed4-9854-73376eecada5,"No, I cannot find the version number in the article.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,7869e967-a20f-42d6-b1d6-efb551285f08,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q33,Please find and highlight the version date of the software near the bolded text on the left (e.g. - May 2012 - 2004-02-11):,T1.Q33.A2,"No, I cannot find the version date in the article.",4a95b55c-e827-469c-848f-e9186dde0aeb,7869e967-a20f-42d6-b1d6-efb551285f08,"No, I cannot find the version date in the article.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,e4e44ef8-0a29-429e-902a-9e34b0ae7226,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q34,Please find and highlight any URL associated with the software near the bolded text on the left (It could be the URL of the software repository or the project landing page. e.g. - http://timat2.sourceforge.net):,T1.Q34.A1,"Yes, Iâ€™ve found the URL in the article.",5477eaf7-5128-4f1f-873e-d0326f4aab31,e4e44ef8-0a29-429e-902a-9e34b0ae7226,"Yes, Iâ€™ve found the URL in the article.",2,1,1825,1872,http://opaas.ibms.sinica.edu.tw/help/opaas.html
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,94155791-a37b-415a-9cc1-a6820a658a7b,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q35,"Please find and highlight the developer of the software near the bolded text on the left, it could be individuals or organizations. (e.g., - Microsoft - R Development Core Team - Neck, R., Hager, M., & Behrens, D.)",T1.Q35.A2,"No, I cannot find the developer information in the article.",e3bb67c0-e587-443e-8c9b-cd73a1ba108c,94155791-a37b-415a-9cc1-a6820a658a7b,"No, I cannot find the developer information in the article.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,f7e0f9a9-7576-44a6-a54e-44c94cab3e5d,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/509,29012195-ebf0-463e-bd86-82041245e21a,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,c041b516-efa6-4230-8b52-36a56a90cb0d,3,3,bff490c7-0cc0-4901-9d20-e98a245e9bb1,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:51.2,15:11.1,1579.89543,software details,T1.Q91,(optional) Please leave comments on what might be confusing and suggest ways we might clarify definitions or improve our prompts to better guide contributors' efforts.,T1.Q91.A1,placeholder answer for TEXT,54d12f42-2171-4640-be06-8d25fb8780d7,bff490c7-0cc0-4901-9d20-e98a245e9bb1,,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,793d775d-a0c9-479d-a83e-015c44fb73d9,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/506,76a22a5f-cfa9-4567-84a8-6503efb21c12,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,100000,PMC1474058-0,264e4195178b24a104c39d81e99282b952dbb1e08468124950784a03fd93083c,3610,3c319fd8-e515-4fe2-9034-df2cd6b629af,3,3,537467bc-190d-45ee-880d-0a8431352c31,523a7ed6-1bb6-452e-a5ad-8178e8cda1a7,24:00.8,28:30.8,270.026322,software details,T1.Q1,"Do you think the entity displayed in bold font on the left is properly classified as a specific piece of software? (i.e., not a general class of software)? (We encourage you to search the Internet to verify your answer. For example, you can use the word in bold text + ""software"" as your Google search terms or other search terms of your choice, find relevant information by reading the search results, and then make your judgment.)",T1.Q1.A5,Very unlikely this is a specific piece of software,fa4c6e5f-0b90-471d-8005-7b868e662474,537467bc-190d-45ee-880d-0a8431352c31,Very unlikely this is a specific piece of software,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,793d775d-a0c9-479d-a83e-015c44fb73d9,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/506,76a22a5f-cfa9-4567-84a8-6503efb21c12,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,100000,PMC1474058-0,264e4195178b24a104c39d81e99282b952dbb1e08468124950784a03fd93083c,3610,3c319fd8-e515-4fe2-9034-df2cd6b629af,3,3,89a7e085-f737-4c87-a1a7-d5076c68f248,523a7ed6-1bb6-452e-a5ad-8178e8cda1a7,24:00.8,28:30.8,270.026322,software details,T1.Q90,"Please tell us (best guess is fine) what you think the entity displayed in bold font might be (e.g., algorithm, hardware, protocol, database, etc.)",T1.Q90.A1,placeholder answer for TEXT,6685f896-8a0f-4bab-8716-e60abf97ea1e,89a7e085-f737-4c87-a1a7-d5076c68f248,"a quick google search tells me this is a ""DNA transfection reagent"" aka a biological agent meant to introduce genetic material into cells in experiments. Its a biological agent of animal origin and not software.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,793d775d-a0c9-479d-a83e-015c44fb73d9,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/506,76a22a5f-cfa9-4567-84a8-6503efb21c12,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,100000,PMC1474058-0,264e4195178b24a104c39d81e99282b952dbb1e08468124950784a03fd93083c,3610,3c319fd8-e515-4fe2-9034-df2cd6b629af,3,3,3ecf0a5c-64e6-4762-ac5b-d3deb7092bdf,523a7ed6-1bb6-452e-a5ad-8178e8cda1a7,24:00.8,28:30.8,270.026322,software details,T1.Q91,(optional) Please leave comments on what might be confusing and suggest ways we might clarify definitions or improve our prompts to better guide contributors' efforts.,T1.Q91.A1,placeholder answer for TEXT,54d12f42-2171-4640-be06-8d25fb8780d7,3ecf0a5c-64e6-4762-ac5b-d3deb7092bdf,I could see how this could be misconstrued as software by someone who is not familiar with transfections or biology as the name and acronym presents like software would in a paper. Additionally the citation of the biomedical company could be confusing to a coder/algorithm trying to classify it.,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,9e925612-5d91-4a07-8a36-cf476a033dba,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/507,95525170-3050-4808-89a1-a2c73bb8e259,softcite_data/step1_txt/pmc/PMC1474058-1/text.txt.gz,100001,PMC1474058-1,43fc79d308443d9b7a6c035f1acf262ba0d63aa31ee9e7e30b03ad2c9d39402e,3369,5ed4ebc2-2821-485e-996d-ef91e2e8615a,3,3,1ceba221-9f82-4eaa-9c04-a5e2f83ace48,523a7ed6-1bb6-452e-a5ad-8178e8cda1a7,24:01.2,34:06.5,605.345052,software details,T1.Q1,"Do you think the entity displayed in bold font on the left is properly classified as a specific piece of software? (i.e., not a general class of software)? (We encourage you to search the Internet to verify your answer. For example, you can use the word in bold text + ""software"" as your Google search terms or other search terms of your choice, find relevant information by reading the search results, and then make your judgment.)",T1.Q1.A5,Very unlikely this is a specific piece of software,fa4c6e5f-0b90-471d-8005-7b868e662474,1ceba221-9f82-4eaa-9c04-a5e2f83ace48,Very unlikely this is a specific piece of software,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,9e925612-5d91-4a07-8a36-cf476a033dba,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/507,95525170-3050-4808-89a1-a2c73bb8e259,softcite_data/step1_txt/pmc/PMC1474058-1/text.txt.gz,100001,PMC1474058-1,43fc79d308443d9b7a6c035f1acf262ba0d63aa31ee9e7e30b03ad2c9d39402e,3369,5ed4ebc2-2821-485e-996d-ef91e2e8615a,3,3,88e1dec0-66f1-43f1-9351-9427e6ef358e,523a7ed6-1bb6-452e-a5ad-8178e8cda1a7,24:01.2,34:06.5,605.345052,software details,T1.Q90,"Please tell us (best guess is fine) what you think the entity displayed in bold font might be (e.g., algorithm, hardware, protocol, database, etc.)",T1.Q90.A1,placeholder answer for TEXT,6685f896-8a0f-4bab-8716-e60abf97ea1e,88e1dec0-66f1-43f1-9351-9427e6ef358e,"a quick google search tells me that FACScan is a piece of biomedical equipment. Specifically, it is a cytometer- or machine meant for analyzing cell characteristics like size, DNA content, e.t.c ",0,0,,,
